CUIT,GLN,Razón Social
30700142643,7798113530004,"ERIOCHEM S.A."
30647142970,9990475840007,"ESTABLECIMIENTO MARIA DEL ROSARIO SRL"
30540142714,9990377800000,"ETHICAL NUTRITION S.A."
30660637628,7798024440003,"EURODERM SRL"
30708388609,7798122340007,"Eurofar SRL."
30531967093,7798016920001,"EUROFARMA ARGENTINA S.A."
30521298495,7793236000007,"EVEREX ARGENTINA S.A."
30714555150,9990475800001,"EXPERIENTIA S.A."
30605951518,9990377810009,"FAPROMED S.A."
30677262393,9990432500005,"FARMA SYSTEM S.A."
30663411477,9990440480009,"FARMACEUTICOS ARGENTINOS S.A."
33607215699,9990460630002,"FARMAQUIM S.A."
30709694223,7798006870002,"FILAXIS FARMACEUTICA S.A."
30504710412,7791171000007,"FINADIET S.A.COM IND FIN E INMOB"
30707279547,9990440420005,"FLEMING S.A."
30504113422,7794428000003,"FORTBENTON CO. LABORATORIES S.A."
30648171494,7798008190009,"FRAMINGHAM PHARMA SRL"
30709177385,7798161990003,"FRANCELAB S A"
30692971953,7798097940004,"FRESENIUS KABI S.A."
33709061629,9990377650001,"FUNDACION CENTRO DIAGNOSTICO NUCLEAR"
30500987185,7792183000009,"GADOR S A"
30682454926,7798007730008,"GALDERMA ARGENTINA SA"
30599251509,9990475960002,"GASAVEL"
30543989203,7798233850006,"GASES COMPRIMIDOS S A"
30601596322,9990442180006,"GASTON GISCARD SRL"
30705065167,7798163500002,"GEMABIOTECH S.A.U."
30655078874,7798015900004,"GEMEPE S A"
30657674296,7798113700001,"GEMINIS FARMACEUTICA S.A."
30709641871,9990433430004,"GEN MED INTERNATIONAL L.L.C."
30710121954,7798140250005,"GENOMMA LABORATORIES ARGENTINA S.A."
30707953329,9990440310009,"GENPHARMA S.A."
30708484160,7798122020008,"GENZYME DE ARGENTINA S.A."
30500781986,7792374000009,"GERARDO RAMON Y CIA. S.A.I.C."
33687679909,7798088120002,"GLENMARK GENERICS S.A."
30503270230,7795376000008,"GOBBI NOVAG S.A."
30710709072,9990594910001,"GOSCOR NOVA S.A."
33500619509,7791984000003,"GRAMON MILLET S.A."
30650805441,7798019610008,"GRIFOLS ARGENTINA S.A."
30661715665,7798034740001,"GRIMBERG DENTALES S.A."
30694345456,9990460640001,"GRUNENTHAL ARGENTINA S.A."
30715268791,7798365530029,"GSK BIOPHARMA ARGENTINA S.A."
30545591835,7798007120007,"GUERBET ARGENTINA LIMITED"
30698873325,9990475780006,"H Y R ARGENTINA"
30517130032,7790104000008,"HALEON ARGENTINA S. A."
30644703998,9990475720002,"HIGIA"
30708578599,7798081260002,"HLB PHARMA GROUP S.A."
30709010634,9990475700004,"IMMUNO S.A."
30546769239,9990440600001,"INCASA S.A."
30643842722,7798076210005,"INDURA ARGENTINA SA"
30716866927,7798385040003,"INFINITY PHARMA S.A"
33710094409,7798241900007,"INGERICS S.A."
30548503546,9990460830006,"INGRAM LABORATORIO S.A."
30607380356,7798018490007,"INMUNOLAB SA"
30501145315,7792796000007,"INSTITUTO BIOLOGICO ARGENTINO S A I C"
30645104060,7798178580006,"INSTITUTO BIOLOGICO CONTEMPORANEO S.A."
30528919711,7795343000000,"INSTITUTO MASSONE S. A."
33501112289,7795344000009,"INSTITUTO SANITAS ARG S A"
30501051825,7790839000007,"INSTITUTO SEROTERAPICO ARGENTINO S.A.I.C."
30631421322,9990475650002,"INTERBELLE COSMETICS S.A."
30547838307,7795380000001,"INVESTI FARMA S A"
30559807970,7798033100004,"IRAOLA Y CIA S A"
33501707029,7795326000003,"IVAX ARGENTINA SOCIEDAD ANONIMA"
30598129246,7791647000005,"JANSSEN CILAG FARMACEUTICA SOCIEDAD ANONIMA"
33597021319,9990474540007,"JOHN WYETH LABORATORIOS S.A."
30598498500,9990377660000,"JOHNSON & JOHNSON MEDICAL S.A."
30658893633,7798236560001,"JUSTESA IMAGEN ARGENTINA SA"
30500572309,7790011000009,"KENVUE ARGENTINA S.A."
33708488939,7798131890005,"KILAB S.R.L."
30574564367,7795360000007,"KLONAL S R L"
30654926243,9990390990009,"LA SERRANITA S.A."
20013906379,9990440350005,"LABINCA"
30706244413,7798086730005,"LABOPHARMA PHARMACEUTICAL GROUP SA"
30700988682,7798168990006,"LABORATORIO ALEF MEDICAL ARGENTINA S A"
33559584229,9990433200003,"LABORATORIO ARGENMEX S.A."
30708121688,9990433440003,"LABORATORIO ARGENTINO DE MEDICAMENTOS S.A."
30646015355,7798011650002,"LABORATORIO AUSTRAL S A"
30716383179,7798358810015,"LABORATORIO CELTYC S.A."
30707838333,9990474500001,"LABORATORIO CORBAPLANT"
30530611171,9990432510004,"LABORATORIO CULTURAL ABADIA DEL NIÑO DIOS ASOCIACION CIVIL"
30709716561,9990440250008,"LABORATORIO DE ELECTROQUIMICA MEDICA S.R.L."
30663181838,9990385250002,"LABORATORIO DE ESPECIALIDADES MEDICINALES FORMOSA SA LAFORMED S A"
30698237097,7798179350004,"Laboratorio de Especialidades Medicinales S.E."
30715647822,7798326190002,"LABORATORIO DEL FIN DEL MUNDO SAPEM"
30663785091,9990402810004,"LABORATORIO DICOFAR SRL"
30529900747,7795327000002,"LABORATORIO DOMINGUEZ S A"
33580025779,7798061750004,"LABORATORIO DOSA S.A."
30697736154,7797416000009,"LABORATORIO ECZANE PHARMA S A"
30651995708,7792369000007,"LABORATORIO EDGARDO JORGE GEZZI"
30544640212,7791848000002,"LABORATORIO ELEA PHOENIX S.A."
30525591855,7798024740004,"LABORATORIO FARMACEUTICO ARGENTINO S.A."
30537234845,7798006300004,"LABORATORIO FECOFAR DE LA FEDERACION ARGENTINA DE COOPERATIVAS FARMACEUTICAS COOP.LTDA."
33605870649,9990475810000,"LABORATORIO HEXA S.A."
30717251357,7798451940008,"LABORATORIO IBERO AMERICANO S. A."
30661399240,7795364000003,"LABORATORIO INCAICO SA"
30707618716,7798181660009,"LABORATORIO INDUSTRIAL FARMACEUTICO SOCIEDAD DEL ESTADO"
30501676892,7793569000002,"LABORATORIO INTERNACIONAL ARGENTINO S.A."
30708694173,7798180920005,"LABORATORIO KEMEX S.A."
30710548567,9990380980003,"LABORATORIO LABORIT SRL"
30662998970,7798353600000,"LABORATORIO LEPETIT S.A."
30661728597,7795367000000,"LABORATORIO LKM S.A."
30584077472,9990460650000,"LABORATORIO MI FLORA S.R.L."
30643183079,9990475890002,"LABORATORIO NEW PHARMA S.A."
33708246269,7798113690005,"LABORATORIO OMICRON S.A."
30525858274,7795373000001,"LABORATORIO PABLO CASSARA S R L"
30618834995,9990433410006,"LABORATORIO PHARMAGREEN"
30709502235,7798156390009,"LABORATORIO PRETORIA SRL"
30708567929,7798124760001,"LABORATORIO Q-PHARMA ARGENTINA S.A."
30605962226,9990433190007,"LABORATORIO RIGO S.A."
20335766084,9990440370003,"LABORATORIO ROMECA"
30709577812,7798239770001,"Laboratorio Rontag S.A."
30678715022,9990474580003,"LABORATORIO SAN ROQUE S.A."
30712481656,7798142290009,"LABORATORIO SCHAFER S.A."
30717710890,7798412340007,"LABORATORIO VALAR S. A."
30661469192,7795372000002,"LABORATORIO VANNIER S.A."
30682667709,7798035310005,"LABORATORIO VARIFARMA S.A."
30604385608,9990474620006,"LABORATORIO WALKER S.R.L."
30501555149,9990493690004,"LABORATORIO YORK S.A.I.C.F.I."
30708940786,9990440330007,"LABORATORIOS ASMOPUL S.A."
30590151943,9990475710003,"LABORATORIOS ADESIL S.A."
30504507323,7793742000003,"LABORATORIOS ANDROMACO SOCIEDAD ANONIMA INDUSTRIAL COMERCIAL INMOBILIARIA"
30561989865,7798081760007,"LABORATORIOS APOLO SA"
30610562228,7798083520005,"LABORATORIOS ASPEN S.A."
30570760897,7798133450009,"LABORATORIOS BACON S A I C"
30516024840,7790375000004,"LABORATORIOS BAGO S A"
30516922164,9990475820009,"LABORATORIOS BEAUTEMPS S.A."
30500547290,7792175000000,"LABORATORIOS BERNABO SOCIEDAD ANONIMA"
30501521880,7795328000001,"LABORATORIOS BETA SOCIEDAD ANONIMA"
33645293989,9990453230004,"LABORATORIOS BRITANIA SA"
30539932183,7791992000002,"LABORATORIOS BUXTON S.A."
33644313749,7795359000001,"LABORATORIOS CABUCHI S.A."
30501596082,7791909000002,"LABORATORIOS CASASCO S A I C"
30580271479,9990440410006,"LABORATORIOS CELTIA S.A."
30504392496,7795330000006,"LABORATORIOS CETUS SRL"
30658919403,9990440620009,"LABORATORIOS CORDOBA S.A."
30536237778,7795331000005,"LABORATORIOS DALLAS S.A."
30500671013,7798028620005,"LABORATORIOS DR MADAUS Y CO S.A."
30520581258,7795361000006,"LABORATORIOS DUNCAN SA"
33504284439,9990433380002,"LABORATORIOS ESME S.A.I.C."
30633895208,9990433210002,"LABORATORIOS ESSEX S.A."
33702248189,7798074280000,"LABORATORIOS EXCELENTIA SA"
30534475795,7795332000004,"LABORATORIOS FABRA S.A."
30538883529,7793094000003,"LABORATORIOS FELIPE BAJER SAIC"
30503746235,7798025130002,"LABORATORIOS FERRING SOCIEDAD ANONIMA"
30642976881,9990375400004,"LABORATORIOS FRASCA SRL"
30503569627,9990474510000,"LABORATORIOS GORDON SACIFIA"
30558783970,9990475880003,"LABORATORIOS HEREDIA DE PRONAT SA"
30621208760,9990493650008,"LABORATORIOS HETTY S.R.L."
30503720929,7798091910003,"LABORATORIOS IMA S A I C"
30555847846,7798024550009,"LABORATORIOS IMVI ( INSTITUTO MEDICO VETERINARIO INTEGRAL) S.A."
30710245807,9990474600008,"LABORATORIOS INPAR S.A."
30712205330,7798209710006,"LABORATORIOS JAYOR SRL"
30647810426,9990440460001,"LABORATORIOS K-DIAL SRL"
30503049305,9990440650006,"LABORATORIOS LACEFA S.A.I.C.A."
30547086534,9990493680005,"LABORATORIOS LANDO S.A.C.I."
30708307544,9990428210000,"LABORATORIOS LANPHARM S.A"
33642230099,9990475690008,"LABORATORIOS LEDERLE - DIVISION DE CYANAMID DE ARGENTINA S.A."
30535843593,7795333000003,"LABORATORIOS LERSAN S A I C F E I"
30554643341,9990381020005,"LABORATORIOS MACPHARMA SOCIEDAD ANONIMA"
30702070682,7798074620004,"LABORATORIOS MAR S.A."
30515900914,7795334000002,"LABORATORIOS MONSERRAT Y ECLAIR S.A."
30641687800,9990420400003,"LABORATORIOS NOVARA SRL"
30617493590,9990381220009,"LABORATORIOS OTEMEN SA"
32932523418,9990433400007,"LABORATORIOS PASTEURINE S.A."
30501902922,7798006880001,"LABORATORIOS PAYLOS S R L"
30679574821,7798008290006,"LABORATORIOS PHARMAMERICAN SRL"
30640197435,7798021110008,"LABORATORIOS PHARMATRIX DIVISION DE THERABEL PHARMA S.A."
30650580024,9990381180006,"LABORATORIOS PIPERPOL SRL"
30515488789,9990475920006,"LABORATORIOS PLOS S.A."
30503832328,7795368000009,"LABORATORIOS POEN S.A.U."
30605456681,9990381010006,"LABORATORIOS POLYBIUS SA"
30708899050,7798154680003,"LABORATORIOS PUNTANOS S.E."
30502094196,7795362000005,"LABORATORIOS RAFFO S A"
33715352759,7798321620009,"LABORATORIOS RAMALLO S.A."
30713909706,9990394190009,"LABORATORIOS REDIA S.A."
30503637665,9990440490008,"LABORATORIOS RICAR SA"
30504294222,7795336000000,"LABORATORIOS RICHET S A"
30501152826,7795348000005,"LABORATORIOS RICHMOND SACIF"
30540080298,9990440260007,"LABORATORIOS RIOPLATENSE S.A."
30501327049,9990474590002,"LABORATORIOS SCHVARTZ GIORDANO S.R.L."
30715578375,7798345890006,"LABORATORIOS SEQIRUS S.A."
33505476099,7795354000006,"Laboratorios Szama S.A."
30517226676,7798151640000,"LABORATORIOS TAURO SOCIEDAD ANONIMA"
33500867979,7795337000009,"LABORATORIOS TEMIS LOSTALO S A"
30695599389,7794863000002,"LABORATORIOS VALMAX SOCIEDAD ANONIMA"
30636707380,7791939000003,"LABORATORIOS VENT 3 SRL"
30649685025,9990475660001,"LABORATORIOS WACO S.A.C.E.I."
30501762438,7798164130000,"LABORATORIOS WELTRAP S.A."
33708366019,9990407780005,"LABSA SRL"
30580960428,7798048080001,"LADECE S.A."
30681071381,7798021290007,"LAFEDAR SOCIEDAD ANONIMA"
30709369098,9990475860005,"LAFITAR LABORATORIO FITOTERAPICO ARGENTINO"
30714470902,9990413210008,"LANCASTER PHARMA SA"
33707691269,7798138890008,"LASSEN PHARMA S.A."
30536602913,7798183070011,"LAVIMAR S A"
30559285117,9990440610000,"LEDERCO S.A."
30708215542,9990375200000,"LEMAX LABORATORIOS SRL"
20945269090,9990452830007,"LEMONIER S.A."
30570072834,9990440280005,"LITEX TECHNOLOGY S.A."
30707747257,7798092890007,"LUNDBECK ARGENTINA S.A."
30707199454,7798173940003,"M R PHARMA S A"
30702138457,7798020930003,"MAIGAL CORPORATION"
30687261158,9990433420005,"MARCONI MEDICAL SYSTEMS SALES CORPORATION"
30708299096,7798137190000,"MAX VISION S.R.L."
30682628223,9990440270006,"MAXFAR S.A."
20060270911,9990440340006,"MEDIC`S ARGENTINA DE EMILIO LUIS NICOLAS PFIRTER"
30600193275,7798030230018,"MEDIPHARMA SOCIEDAD ANONIMA"
30540576870,7791763000002,"MEGALABS ARGENTINA S.A.U"
30503832565,7790273000007,"MERCK S A"
30501222913,7798024570007,"MERLINO Y COMPANIA SOCIEDAD COLECTIVA"
30503105574,9990374960004,"MERTENS SA"
30711884994,7798173340001,"MERZ ARGENTINA SA"
30708833920,7798138130005,"MICROFAR S.A."
30519887335,7791829000007,"MICROSULES ARGENTINA S A DE SERVICIOS COM IND INMB AGROPECUARIA"
30683256400,9990385990007,"MINISTERIO DE SALUD PUBLICA DE LA PROVINCIA DE MISIONES"
30503508725,9990483260002,"MONSANTO ARGENTINA S A I C"
30700743140,7798084680005,"MONTE VERDE S A"
30709284173,9990475970001,"MORRITH S.A. ARGENTINA"
30714089567,7798313410007,"MS SYNTHON BAGO SA"
30503403079,7790330000001,"MSD ARGENTINA S R L"
30711922861,7798299850002,"MUNDIPHARMA PHARMACEUTICALS ARGENTINA SRL"
30659912755,9990381190005,"MUNTAL SA"
30610753376,9990381200001,"NAF SA"
30644513145,7795379000005,"NATUFARMA S.A."
30710183631,9990440290004,"NATURAL HEALTH S.A."
30505196402,9990474610007,"NEWARK ESPECIALIDAES MEDICINALES S.R.L."
30707354379,7798112470004,"NEXO PHARMACEUTICAL GROUP S A"
30679618292,7798188610007,"NORGREEN S.A."
30516620397,7795306000016,"NOVARTIS ARGENTINA S A"
30693286553,7798058930006,"NOVO NORDISK PHARMA ARGENTINA S A"
30505109267,9990381210000,"NOVOCAP SA"
30707092781,9990475750009,"OHMILCE"
30703254361,9990487700009,"OMEDIR S.A."
30716955334,7798389330001,"OPELLA HEALTHCARE ARGENTINA S.A.U."
30502149586,9990381380000,"ORGANON ARGENTINA SAQIYC"
30716945002,7798376720006,"ORGANON ARGENTINA S.R.L."
30541872988,7798167580000,"OXAPHARMA S.A."
30629115915,9990602020005,"OXISUR GASES INDUSTRIALES S R L"
30694811767,7798220360006,"OXY NET SA"
30602087618,9990440640007,"PACEMAKER S.R.L."
30658127094,7798051850004,"PANALAB S A ARGENTINA"
33586640459,9990432470001,"PAR SOL LABORATORIOS S.A."
30694375681,9990475930005,"PAULA S.A."
30707488529,7798094760001,"PENN PHARMACEUTICALS S.A."
30515690405,9990381390009,"PEREZ HNOS Y CIA SRL"
30708693223,7798122840002,"PERMATEC LABORATORIO MEDICINAL S.A."
30503518518,7795381000000,"PFIZER SOCIEDAD DE RESPONSABILIDAD LIMITADA"
30501104236,9990484650000,"PHARMACIA & UPJOHN AB"
20086041074,9990484660009,"PHARMACIA ARGENTINA S.A."
33707573169,7798103390007,"PHARMADORF S.A."
30708136952,7798112990014,"PHARMALEP S.A."
30710232136,7798345550009,"PHORONEUS SRL"
33702011219,9990381040003,"PIERRE FABRE DERMO COSMETIQUE ARGENTINA SA"
30707204741,7798147400007,"PINT PHARMA ARGENTINA S A"
30500883428,7795325000004,"P.L. RIVERO Y COMPAÑIA SOCIEDAD ANONIMA"
30578780676,9990374540008,"PRAXAIR ARGENTINA SOCIEDAD DE RESPONSABILIDAD LIMITADA"
30707293655,7798080770007,"PRAXIS PHARMA S.A"
30615265450,7792300000004,"PROCTER & GAMBLE ARGENTINA S.R.L."
30715789589,9990591580009,"PRODUCTORA FARMACEUTICA RIONEGRINA SOCIEDAD DE ESTADO"
30540026323,7798016550000,"PRODUCTOS FARMACEUTICOS DR GRAY S ACOM IND"
33590029349,9990432460002,"PRODUCTOS FARMACEUTICOS FIDEX S.A."
30517360356,9990474560005,"PRODUCTOS HIGATE S.A."
30527444280,7792371000002,"PRODUCTOS ROCHE S A QUIMICA E INDUSTRIAL"
30652853834,7798167870187,"PRODUMEDIX INTERNACIONAL SA"
30709523992,9990474630005,"PROMECO S.A."
30619780635,9990381230008,"PROMEDON SA"
30612033699,9990460660009,"PUEBLA S.R.L."
30525365731,7795319000003,"PURISSIMUS S A"
30501257954,7795349000004,"QUIMICA ARISTON S A I C"
30567736535,7798038280008,"QUIMICA LUAR S R L"
30503805789,7792819000007,"QUIMICA MEDICAL ARGENTINA S.A.C.I."
30535994540,7795378000006,"QUIMICA MONTPELLIER S A"
30700342596,9990474570004,"RATIOPHARM S.A."
30500750215,7791130000000,"RECKITT BENCKISER ARGENTINA S.A."
30716184435,7798339190006,"RECKITT BENCKISER HEALTH ARGENTINA S.A."
33697248809,9990475950003,"RHODIA ARGENTINA QUIMICA Y TEXTIL S.A.I.C. Y F."
33681450209,9990475870004,"RHONE POULENC RORER ARGENTINA S.A."
30625149505,7798144560001,"RIGECIN LABS S.A."
30708764236,9990535230007,"ROBERTO SALINAS E HIJOS S.A."
30590922168,7798136850004,"RODRIGUEZ Y VIDAL S.R.L."
30500938125,7795345000008,"ROEMMERS S A I C F"
30707002529,7798090760005,"RONNET LABORATOIRES S.A."
30707382763,7798118060001,"ROSPAW S.R.L."
30711191875,7798161930009,"ROSSMORE PHARMA S.A."
30500690530,7793213000006,"ROUX OCEFA S A"
30504818825,7798067990008,"ROVAFARM ARGENTINA S A"
33590050569,7798015780002,"SANOFI HEALTH ARGENTINA S. A."
30501445416,7795312000000,"SANOFI-AVENTIS ARGENTINA SOCIEDAD ANONIMA"
30523179523,7798052710000,"SANT GALL FRIBURG Q.C.I.S.R.L."
30669159885,7798032930008,"SAVANT PHARM S.A."
30503747533,9990475850006,"S.C. JOHNSON & SON DE ARGENTINA S.A.I.C."
33501016239,9990474530008,"SCHERING ARGENTINA S.A.I.C."
20285736138,9990475900008,"SCLAVO S.P.A."
30707373942,7798162050003,"SCOTT PHARMA S.A."
30589302253,7795228000002,"SERTEX S.A."
33537025269,7795384000007,"SERVIER ARGENTINA S.A."
30501317019,7795356000011,"SIDUS SOCIEDAD ANONIMA"
30709467243,7798129410000,"SIEGFRIED S.A"
30711720487,7798184640008,"SINERGIUM BIOTECH S.A."
30528206367,9990440660005,"SINTESINA S.A."
30710656602,9990585470002,"SLANGER S.A."
30503526871,7795375000009,"Soubeiran Chobet S.R.L."
30501483385,7795366000001,"SPEDROG CAILLON S.A.I C"
30711973822,9990590500008,"STEIGEN SRL"
30599945810,9990432480000,"STIEFEL ARGENTINA SA"
30661407995,9990460440007,"SUBITON LABORATORIES S.A."
30709840254,7798216190006,"SURAR PHARMA SA"
30503646605,9990440510003,"SYNCRO ARGENTINA S.A.Q.I.C.I.F."
30639499622,7795371000003,"T R B PHARMA S A"
30708282150,7798133340003,"TAKEDA ARGENTINA SOCIEDAD ANONIMA"
30501602996,7795300000036,"TAKEDA PHARMA S.A."
30714600636,9990441990002,"TEA FREE SRL"
30661816429,9990441260006,"TECNO AGRO VIAL SA"
30642507687,7798190250000,"TECNONUCLEAR S.A."
30710401116,7798217920008,"TECSOLPAR SA"
30707297472,7798332690008,"TERUMO BCT LATIN AMERICA S.A."
30708064293,7798113890009,"TETRAFARM S.A."
30614751750,7798346460017,"TRIQUIM SA"
30589864642,7793397000007,"TUTEUR S A C I F I A"
30503658239,9990440670004,"TYPEN S.A.I.C.F."
30537515801,9990381400005,"UCB UNION CIENTIFICA BELGO ARGENTINA SACI"
30712273832,7798312520004,"UGAL FARMACEUTICA SA"
30712528946,7798187300015,"ULTRA PHARMA S.A."
30645292681,9990475790005,"ULTRAFIT S.R.L."
30600124702,9990381240007,"UNIC COMPANY SRL"
30546670623,7798028710003,"UNIVERSIDAD NACIONAL DE CORDOBA"
33712211879,9990428850008,"VANGUARDIA EN PRODUCTOS FARMACÉUTICOS (VANPROFARMA) S.A."
30515809607,7798072510000,"VEINFAR INDUSTRIAL Y COMERCIAL SOCIEDAD ANONIMA"
30625046455,9990432520003,"VICROFER S.R.L."
33503575219,9990475910007,"VISION CENTER S.A."
30502509434,9990460670008,"VOLPINO LABORATORIOS S.A.C.I."
30639588099,9990441210001,"WELLCOME ARGENTINA LTD."
30711313571,9990475670000,"WELT S.A.I.C."
30500573607,9990493700000,"WHITEHALL LABORATORIOS S.A."
30691021706,7798152930001,"WUNDER PHARM S.R.L."
33503780769,9990474520009,"WYETH S.A."
30529994393,7792840000007,"3M ARGENTINA S.A.C.I.F.I.A."
